"Modes of travel";"Population";"Margins";"Region characteristics";"ds";"y"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Overijssel (PV)";"2019";"     2.9"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Overijssel (PV)";"2020";"     1.6"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Overijssel (PV)";"2021";"     2.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Overijssel (PV)";"2022";"     2.2"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Overijssel (PV)";"2023";"     2.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Flevoland (PV)";"2018";"     1.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Flevoland (PV)";"2019";"     1.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Flevoland (PV)";"2020";"     0.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Flevoland (PV)";"2021";"     1.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Flevoland (PV)";"2022";"     1.2"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Flevoland (PV)";"2023";"     1.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Gelderland (PV)";"2018";"     5.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Gelderland (PV)";"2019";"     4.3"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Gelderland (PV)";"2020";"     3.3"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Gelderland (PV)";"2021";"     3.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Gelderland (PV)";"2022";"     4.3"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Gelderland (PV)";"2023";"     5.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Utrecht (PV)";"2018";"     3.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Utrecht (PV)";"2019";"     3.6"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Utrecht (PV)";"2020";"     2.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Utrecht (PV)";"2021";"     2.6"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Utrecht (PV)";"2022";"     2.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Utrecht (PV)";"2023";"     3.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2018";"     6.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2019";"     5.2"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2020";"     3.9"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2021";"     4.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2022";"     5.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2023";"     5.2"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2018";"     7.2"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2019";"     7.5"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2020";"     5.2"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2021";"     6.2"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2022";"     6.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2023";"     7.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zeeland (PV)";"2018";"     0.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zeeland (PV)";"2019";"     1.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zeeland (PV)";"2020";"     0.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zeeland (PV)";"2021";"     0.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zeeland (PV)";"2022";"     0.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Zeeland (PV)";"2023";"     0.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2018";"     5.5"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2019";"     5.5"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2020";"     3.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2021";"     3.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2022";"     4.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2023";"     5.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Limburg (PV)";"2018";"     2.6"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Limburg (PV)";"2019";"     2.5"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Limburg (PV)";"2020";"     1.6"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Limburg (PV)";"2021";"     1.6"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Limburg (PV)";"2022";"     2.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Limburg (PV)";"2023";"     2.0"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Extremely urbanised";"2018";"     7.4"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Extremely urbanised";"2019";"     6.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Extremely urbanised";"2020";"     5.4"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Extremely urbanised";"2021";"     6.5"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Extremely urbanised";"2022";"     7.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Extremely urbanised";"2023";"     7.4"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Strongly urbanised";"2018";"    11.5"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Strongly urbanised";"2019";"    12.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Strongly urbanised";"2020";"     7.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Strongly urbanised";"2021";"     9.6"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Strongly urbanised";"2022";"     9.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Strongly urbanised";"2023";"    11.3"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Moderately urbanised";"2018";"     6.2"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Moderately urbanised";"2019";"     6.6"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Moderately urbanised";"2020";"     4.5"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Moderately urbanised";"2021";"     4.9"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Moderately urbanised";"2022";"     5.5"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Moderately urbanised";"2023";"     6.6"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Hardly urbanised";"2018";"    10.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Hardly urbanised";"2019";"     9.8"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Hardly urbanised";"2020";"     5.9"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Hardly urbanised";"2021";"     6.9"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Hardly urbanised";"2022";"     8.1"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Hardly urbanised";"2023";"     8.2"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Not urbanised";"2018";"     3.4"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Not urbanised";"2019";"     3.7"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Not urbanised";"2020";"     2.3"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Not urbanised";"2021";"     2.3"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Not urbanised";"2022";"     2.3"
"Passenger car (passenger)";"Population 6 years or older";"Value";"Not urbanised";"2023";"     3.0"
"Train";"Population 6 years or older";"Value";"The Netherlands";"2018";"    22.8"
"Train";"Population 6 years or older";"Value";"The Netherlands";"2019";"    24.1"
"Train";"Population 6 years or older";"Value";"The Netherlands";"2020";"     9.6"
"Train";"Population 6 years or older";"Value";"The Netherlands";"2021";"    10.2"
"Train";"Population 6 years or older";"Value";"The Netherlands";"2022";"    15.8"
"Train";"Population 6 years or older";"Value";"The Netherlands";"2023";"    20.0"
"Train";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2018";"     2.1"
"Train";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2019";"     2.0"
"Train";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2020";"     0.8"
"Train";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2021";"     1.1"
"Train";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2022";"     1.6"
"Train";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2023";"     1.8"
"Train";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2018";"     4.7"
"Train";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2019";"     5.4"
"Train";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2020";"     2.3"
"Train";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2021";"     2.1"
"Train";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2022";"     3.9"
"Train";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2023";"     4.3"
"Train";"Population 6 years or older";"Value";"West-Nederland (LD)";"2018";"    11.7"
"Train";"Population 6 years or older";"Value";"West-Nederland (LD)";"2019";"    12.3"
"Train";"Population 6 years or older";"Value";"West-Nederland (LD)";"2020";"     4.8"
"Train";"Population 6 years or older";"Value";"West-Nederland (LD)";"2021";"     5.4"
"Train";"Population 6 years or older";"Value";"West-Nederland (LD)";"2022";"     7.5"
"Train";"Population 6 years or older";"Value";"West-Nederland (LD)";"2023";"    10.1"
"Train";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2018";"     4.2"
"Train";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2019";"     4.3"
"Train";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2020";"     1.7"
"Train";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2021";"     1.6"
"Train";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2022";"     2.8"
"Train";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2023";"     4.0"
"Train";"Population 6 years or older";"Value";"Groningen (PV)";"2018";"     0.9"
"Train";"Population 6 years or older";"Value";"Groningen (PV)";"2019";"     1.1"
"Train";"Population 6 years or older";"Value";"Groningen (PV)";"2020";"       ."
"Train";"Population 6 years or older";"Value";"Groningen (PV)";"2021";"     0.6"
"Train";"Population 6 years or older";"Value";"Groningen (PV)";"2022";"     0.7"
"Train";"Population 6 years or older";"Value";"Groningen (PV)";"2023";"     0.9"
"Train";"Population 6 years or older";"Value";"Fryslân (PV)";"2018";"     0.6"
"Train";"Population 6 years or older";"Value";"Fryslân (PV)";"2019";"       ."
"Train";"Population 6 years or older";"Value";"Fryslân (PV)";"2020";"       ."
"Train";"Population 6 years or older";"Value";"Fryslân (PV)";"2021";"       ."
"Train";"Population 6 years or older";"Value";"Fryslân (PV)";"2022";"       ."
"Train";"Population 6 years or older";"Value";"Fryslân (PV)";"2023";"       ."
"Train";"Population 6 years or older";"Value";"Drenthe (PV)";"2018";"       ."
"Train";"Population 6 years or older";"Value";"Drenthe (PV)";"2019";"       ."
"Train";"Population 6 years or older";"Value";"Drenthe (PV)";"2020";"       ."
"Train";"Population 6 years or older";"Value";"Drenthe (PV)";"2021";"       ."
"Train";"Population 6 years or older";"Value";"Drenthe (PV)";"2022";"       ."
"Train";"Population 6 years or older";"Value";"Drenthe (PV)";"2023";"       ."
"Train";"Population 6 years or older";"Value";"Overijssel (PV)";"2018";"     1.3"
"Train";"Population 6 years or older";"Value";"Overijssel (PV)";"2019";"     2.0"
"Train";"Population 6 years or older";"Value";"Overijssel (PV)";"2020";"     0.7"
"Train";"Population 6 years or older";"Value";"Overijssel (PV)";"2021";"     0.4"
"Train";"Population 6 years or older";"Value";"Overijssel (PV)";"2022";"     1.2"
"Train";"Population 6 years or older";"Value";"Overijssel (PV)";"2023";"     1.3"
"Train";"Population 6 years or older";"Value";"Flevoland (PV)";"2018";"     0.7"
"Train";"Population 6 years or older";"Value";"Flevoland (PV)";"2019";"     0.8"
"Train";"Population 6 years or older";"Value";"Flevoland (PV)";"2020";"       ."
"Train";"Population 6 years or older";"Value";"Flevoland (PV)";"2021";"     0.3"
"Train";"Population 6 years or older";"Value";"Flevoland (PV)";"2022";"     0.4"
"Train";"Population 6 years or older";"Value";"Flevoland (PV)";"2023";"     0.4"
"Train";"Population 6 years or older";"Value";"Gelderland (PV)";"2018";"     2.7"
"Train";"Population 6 years or older";"Value";"Gelderland (PV)";"2019";"     2.6"
"Train";"Population 6 years or older";"Value";"Gelderland (PV)";"2020";"     1.3"
"Train";"Population 6 years or older";"Value";"Gelderland (PV)";"2021";"     1.4"
"Train";"Population 6 years or older";"Value";"Gelderland (PV)";"2022";"     2.3"
"Train";"Population 6 years or older";"Value";"Gelderland (PV)";"2023";"     2.6"
"Train";"Population 6 years or older";"Value";"Utrecht (PV)";"2018";"     2.1"
"Train";"Population 6 years or older";"Value";"Utrecht (PV)";"2019";"     2.6"
"Train";"Population 6 years or older";"Value";"Utrecht (PV)";"2020";"     1.1"
"Train";"Population 6 years or older";"Value";"Utrecht (PV)";"2021";"     1.1"
"Train";"Population 6 years or older";"Value";"Utrecht (PV)";"2022";"     1.6"
"Train";"Population 6 years or older";"Value";"Utrecht (PV)";"2023";"     2.3"
"Train";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2018";"     4.9"
"Train";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2019";"     4.7"
"Train";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2020";"     2.0"
"Train";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2021";"     2.1"
"Train";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2022";"     2.7"
"Train";"Population 6 years or older";"Value";"Noord-Holland (PV)";"2023";"     3.4"
"Train";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2018";"     4.6"
"Train";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2019";"     4.8"
"Train";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2020";"     1.6"
"Train";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2021";"     2.2"
"Train";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2022";"     3.0"
"Train";"Population 6 years or older";"Value";"Zuid-Holland (PV)";"2023";"     4.3"
"Train";"Population 6 years or older";"Value";"Zeeland (PV)";"2018";"       ."
"Train";"Population 6 years or older";"Value";"Zeeland (PV)";"2019";"       ."
"Train";"Population 6 years or older";"Value";"Zeeland (PV)";"2020";"       ."
"Train";"Population 6 years or older";"Value";"Zeeland (PV)";"2021";"       ."
"Train";"Population 6 years or older";"Value";"Zeeland (PV)";"2022";"       ."
"Train";"Population 6 years or older";"Value";"Zeeland (PV)";"2023";"       ."
"Train";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2018";"     2.8"
"Train";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2019";"     3.0"
"Train";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2020";"     1.1"
"Train";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2021";"     1.0"
"Train";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2022";"     1.6"
"Train";"Population 6 years or older";"Value";"Noord-Brabant (PV)";"2023";"     2.8"
"Train";"Population 6 years or older";"Value";"Limburg (PV)";"2018";"     1.4"
"Train";"Population 6 years or older";"Value";"Limburg (PV)";"2019";"     1.2"
"Train";"Population 6 years or older";"Value";"Limburg (PV)";"2020";"     0.6"
"Train";"Population 6 years or older";"Value";"Limburg (PV)";"2021";"     0.6"
"Train";"Population 6 years or older";"Value";"Limburg (PV)";"2022";"     1.2"
"Train";"Population 6 years or older";"Value";"Limburg (PV)";"2023";"     1.2"
"Train";"Population 6 years or older";"Value";"Extremely urbanised";"2018";"     8.8"
"Train";"Population 6 years or older";"Value";"Extremely urbanised";"2019";"     9.4"
"Train";"Population 6 years or older";"Value";"Extremely urbanised";"2020";"     3.5"
"Train";"Population 6 years or older";"Value";"Extremely urbanised";"2021";"     4.5"
"Train";"Population 6 years or older";"Value";"Extremely urbanised";"2022";"     5.8"
"Train";"Population 6 years or older";"Value";"Extremely urbanised";"2023";"     7.6"
"Train";"Population 6 years or older";"Value";"Strongly urbanised";"2018";"     7.0"
"Train";"Population 6 years or older";"Value";"Strongly urbanised";"2019";"     8.0"
"Train";"Population 6 years or older";"Value";"Strongly urbanised";"2020";"     3.4"
"Train";"Population 6 years or older";"Value";"Strongly urbanised";"2021";"     3.1"
"Train";"Population 6 years or older";"Value";"Strongly urbanised";"2022";"     5.3"
"Train";"Population 6 years or older";"Value";"Strongly urbanised";"2023";"     7.0"
"Train";"Population 6 years or older";"Value";"Moderately urbanised";"2018";"     3.2"
"Train";"Population 6 years or older";"Value";"Moderately urbanised";"2019";"     2.9"
"Train";"Population 6 years or older";"Value";"Moderately urbanised";"2020";"     1.1"
"Train";"Population 6 years or older";"Value";"Moderately urbanised";"2021";"     1.0"
"Train";"Population 6 years or older";"Value";"Moderately urbanised";"2022";"     1.9"
"Train";"Population 6 years or older";"Value";"Moderately urbanised";"2023";"     2.4"
"Train";"Population 6 years or older";"Value";"Hardly urbanised";"2018";"     2.8"
"Train";"Population 6 years or older";"Value";"Hardly urbanised";"2019";"     2.8"
"Train";"Population 6 years or older";"Value";"Hardly urbanised";"2020";"     1.2"
"Train";"Population 6 years or older";"Value";"Hardly urbanised";"2021";"     1.3"
"Train";"Population 6 years or older";"Value";"Hardly urbanised";"2022";"     2.1"
"Train";"Population 6 years or older";"Value";"Hardly urbanised";"2023";"     2.5"
"Train";"Population 6 years or older";"Value";"Not urbanised";"2018";"     0.9"
"Train";"Population 6 years or older";"Value";"Not urbanised";"2019";"     1.0"
"Train";"Population 6 years or older";"Value";"Not urbanised";"2020";"       ."
"Train";"Population 6 years or older";"Value";"Not urbanised";"2021";"       ."
"Train";"Population 6 years or older";"Value";"Not urbanised";"2022";"     0.7"
"Train";"Population 6 years or older";"Value";"Not urbanised";"2023";"     0.6"
"Bus/tram/metro";"Population 6 years or older";"Value";"The Netherlands";"2018";"     6.5"
"Bus/tram/metro";"Population 6 years or older";"Value";"The Netherlands";"2019";"     6.5"
"Bus/tram/metro";"Population 6 years or older";"Value";"The Netherlands";"2020";"     2.9"
"Bus/tram/metro";"Population 6 years or older";"Value";"The Netherlands";"2021";"     3.5"
"Bus/tram/metro";"Population 6 years or older";"Value";"The Netherlands";"2022";"     5.0"
"Bus/tram/metro";"Population 6 years or older";"Value";"The Netherlands";"2023";"     5.1"
